dataset,size_bytes
ACUSIM/Pres_Poisson,2433272
AG-Monien/3elt,37885
AG-Monien/3elt_dual,47495
AG-Monien/3elt_dual,47495
AG-Monien/airfoil1,35002
AG-Monien/airfoil1_dual,43461
AG-Monien/airfoil1_dual,43461
AG-Monien/bfly,266887
AG-Monien/big_dual,136700
AG-Monien/biplane-9,116419
AG-Monien/brack2,634003
AG-Monien/cage,19299
AG-Monien/cca,219198
AG-Monien/ccc,229029
AG-Monien/crack,69368
AG-Monien/crack_dual,95406
AG-Monien/crack_dual,95406
AG-Monien/debr,4339022
AG-Monien/diag,21268
AG-Monien/grid1,12365
AG-Monien/grid1_dual,12302
AG-Monien/grid1_dual,12302
AG-Monien/grid2,25070
AG-Monien/grid2_dual,25364
AG-Monien/grid2_dual,25364
AG-Monien/L-9,98240
AG-Monien/L,15223
AG-Monien/L-9,98240
AG-Monien/netz4504,18231
AG-Monien/netz4504_dual,14077
AG-Monien/netz4504_dual,14077
AG-Monien/se,158407
AG-Monien/shock-9,188839
AG-Monien/stufe-10,121815
AG-Monien/stufe,15338
AG-Monien/stufe-10,121815
AG-Monien/ukerbe1,34865
AG-Monien/ukerbe1_dual,19483
AG-Monien/ukerbe1_dual,19483
AG-Monien/wave,1771405
AG-Monien/whitaker3,70864
AG-Monien/whitaker3_dual,92896
AG-Monien/whitaker3_dual,92896
Alemdar/Alemdar,61182
AMD/G2_circuit,892470
AMD/G3_circuit,9633729
Andrews/Andrews,970117
Andrianov/ex3sta1,268451
Andrianov/fxm3_6,43891
Andrianov/fxm4_6,161507
Andrianov/ins2,2440068
Andrianov/lp1,1999224
Andrianov/lpl1,319338
Andrianov/mip1,697161
Andrianov/net100,219614
Andrianov/net125,740987
Andrianov/net150,895582
Andrianov/net25,75032
Andrianov/net4-1,1037082
Andrianov/net50,122381
Andrianov/net75,179587
Andrianov/pattern1,443033
Andrianov/pf2177,479368
ANSYS/Delor295K,8873523
ANSYS/Delor338K,29770264
ANSYS/Delor64K,2576188
Arenas/celegans_metabolic,13216
Arenas/email,18612
Arenas/jazz,11733
Arenas/PGPgiantcompo,58778
ATandT/onetone1,708060
ATandT/onetone2,495518
ATandT/pre2,25813845
ATandT/twotone,3187797
Averous/epb0,69969
Averous/epb1,684367
Averous/epb2,1120686
Averous/epb3,728199
Bai/af23560,2628070
Bai/bfwa398,15208
Bai/bfwa62,10396
Bai/bfwa782,22662
Bai/bfwb398,12233
Bai/bfwb62,9688
Bai/bfwb782,16383
Bai/bwm2000,18291
Bai/bwm200,10309
Bai/bwm2000,18291
Bai/cdde1,15629
Bai/cdde2,15632
Bai/cdde3,15627
Bai/cdde4,15630
Bai/cdde5,15628
Bai/cdde6,15623
Bai/ck104,16978
Bai/ck400,30238
Bai/ck656,35923
Bai/cryg10000,462178
Bai/cryg2500,120251
Bai/dw1024,36483
Bai/dw2048,36483
Bai/dw256A,13724
Bai/dw256B,14637
Bai/dw4096,89955
Bai/dw8192,89955
Bai/dwa512,13724
Bai/dwb512,14637
Bai/dwg961a,20546
Bai/dwg961b,44836
Bai/lop163,10711
Bai/mhd1280a,372106
Bai/mhd1280b,80409
Bai/mhd3200a,421122
Bai/mhd3200b,73710
Bai/mhd4800a,629061
Bai/mhd4800b,106790
Bai/mhda416,60655
Bai/mhdb416,17448
Bai/odepa400,10386
Bai/odepb400,11287
Bai/olm1000,13040
Bai/olm100,9546
Bai/olm1000,13040
Bai/olm2000,16942
Bai/olm5000,28892
Bai/olm500,11090
Bai/olm5000,28892
Bai/pde225,17028
Bai/pde2961,117529
Bai/pde900,41779
Bai/qc2534,166007
Bai/qc324,24098
Bai/qh1484,28251
Bai/qh768,19009
Bai/qh882,20292
Bai/rbsa480,20709
Bai/rbsb480,20624
Bai/rdb1250,18955
Bai/rdb1250l,18952
Bai/rdb1250l,18952
Bai/rdb200,10700
Bai/rdb200l,10699
Bai/rdb200l,10699
Bai/rdb2048,26339
Bai/rdb2048_noL,26005
Bai/rdb2048_noL,26005
Bai/rdb3200l,35228
Bai/rdb450,12521
Bai/rdb450l,12531
Bai/rdb450l,12531
Bai/rdb5000,51237
Bai/rdb800l,15309
Bai/rdb968,16696
Bai/rw136,10140
Bai/rw496,12893
Bai/rw5151,46810
Bai/tols1090,28679
Bai/tols2000,34833
Bai/tols340,23729
Bai/tols4000,48430
Bai/tols90,21991
Bai/tub1000,26553
Bai/tub100,11121
Bai/tub1000,26553
Barabasi/NotreDame_actors,3801645
Barabasi/NotreDame_www,1228453
Barabasi/NotreDame_yeast,15122
Bates/Chem97Zt,127069
Bates/Chem97ZtZ,24647
Bates/Chem97ZtZ,24647
Bates/sls,8008925
Belcastro/human_gene1,102139349
Belcastro/human_gene2,74909654
Belcastro/mouse_gene,63695850
BenElechi/BenElechi1,53638749
Bindel/ted_AB,1704767
